"","Alegria","Tristesa","Sorpresa","Irritacio","Despreci","Amor","Emocposit","Emocnegat","Animacio","Relaxacio"
"valley4_mean",0.24943832543929,-0.198446650288216,0.0641251739188399,-0.0733284444353794,-0.0718313702960559,-0.0812249450654978,0.347914366770903,-0.0136679969084153,0.21076551657696,-0.131287311205358
"valley5_mean",0.263265692459668,-0.186232436026639,0.0369457842778702,-0.0625044661877251,-0.056009203116755,-0.0256850948254224,0.313466298542914,-0.0011071844319655,0.192294278034893,-0.129034417779454
"decr_mean",-0.148190144307352,0.104320927845411,-0.0158918015683499,0.24381454973089,0.189269486320388,0.182979200587047,-0.28297554991243,-0.0939885682705337,-0.159326766325887,0.176801705968101
"enehigh_mean",0.0917526908061316,-0.198422843420964,0.0930885418957146,0.134112743897077,0.102071138335018,-0.135405202215852,0.215754259826249,-0.320818828889468,0.0439563799624103,0.0197618151432512
"enelow_mean",0.0376425935147909,-0.0895896631504543,0.0106654340291278,-0.164240707272677,-0.103386805355391,-0.255177843793103,0.204935951372422,0.0241994316183523,0.0742886007791138,-0.116378628421672
"enemidhi_mean",-0.0301056824935222,0.000548260438552008,0.153678719468336,0.309857796459141,0.26339797083354,-0.000745664662958473,-0.0408726649304442,-0.186772309015495,-0.0419617216055612,0.140819965664062
"enemidlo_mean",0.372070124846702,-0.106709710779432,-0.0278426464483766,-0.431482664777881,-0.403192235492774,0.0860642526893254,0.365614502683369,0.251933595326488,0.319899011694884,-0.335941739443275
"flux_mean",0.241193289546509,-0.259988378845922,0.196584731204154,0.00263792653721795,0.0132725507951005,-0.287602654130001,0.42900768426282,-0.14441736691622,0.215309816501582,-0.162100692242831
"rms_mean",0.242618703669362,-0.143454768404812,0.0372764119500086,-0.248573446395692,-0.212093991423671,-0.137500327228585,0.372775859803504,0.0952784865145575,0.23471353996118,-0.221315998438818
"spread_mean",-0.149656409599917,0.0170389386296457,0.0722410161770446,0.187986852970326,0.15646836592602,-0.0871722226317068,-0.120968349889767,-0.195427322585857,-0.126866825786084,0.00353720700632024
"zerocross_mean",-0.168536572185776,-0.0294516741758377,0.135049020255683,0.325413601809043,0.267183693358554,-0.124518375358061,-0.139657628912913,-0.306175593860277,-0.15465382088491,0.0785209040702418
"beats_count",0.156721420155058,-0.00477089514003409,0.219072980676495,-0.0819592234882162,-0.0773551465625919,-0.0351770674475205,0.106621369304594,-0.0530871614804919,0.183950170831958,-0.119084129181697
"beatloud_mean",0.0945273445151271,-0.0768705632604215,-0.0356193122194564,-0.249059986488143,-0.170934852717265,-0.189178291771438,0.181693264511147,0.127520357684964,0.101606514758701,-0.133621297723479
"bpm",0.16071569736813,-0.111991258939318,0.243759273985384,-0.0494585525076894,-0.0505734254541344,-0.00180121734702287,0.131520842128097,-0.127489229994417,0.135610426513763,-0.103732204841555
"danceabil",0.27167491485378,-0.281212181399038,0.100549492731315,-0.0229096500835201,-0.0147104346564278,-0.297530641877192,0.317725324761884,-0.177850157449513,0.241370154966167,-0.157902843958188
"chord_change",-0.237856703370683,0.0797211356431016,0.0784375164275715,0.413953533017332,0.396278110823504,-0.0601116602309313,-0.290253541158845,-0.314154219685392,-0.311868640453099,0.300021046919797
